Authors,Paper year,Year,Warming,Country,Sector,GDP Loss (%),Type,Region,Method,Warming - Original,Comment,Paper
Roson and Satori,2016,2100,3.0,France,SLR,0.0,Scientific paper,France,Direct impacts,,,Roson and Satori 2016
Roson and Satori,2016,2100,3.0,France,Agriculture,0.0002,Scientific paper,France,Direct impacts,,,Roson and Satori 2016
Roson and Satori,2016,2100,3.0,France,Heat,0.0,Scientific paper,France,Direct impacts,,,Roson and Satori 2016
Roson and Satori,2016,2100,3.0,France,Health,-0.0501,Scientific paper,France,Direct impacts,,,Roson and Satori 2016
Roson and Satori,2016,2100,3.0,France,Tourism,0.3515,Scientific paper,France,Direct impacts,,,Roson and Satori 2016
Roson and Satori,2016,2100,3.0,France,All,0.3,Scientific paper,France,Direct impacts,,,Roson and Satori 2016
Takakura et al.,2019,2099,1.8,Europe,Agricultural productivity,0.0375921362858463,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Coastal innundation,-0.0097302695042307,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Cooling/heating demand,-0.961321769147424,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Fluvial flood,-0.0014992821915972,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Heat-related excess mortality,-0.303731891873217,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Hydropower generation,-0.0004491061822947,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Occupational-health cost,0.103756262258948,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Thermalpower generation,-0.0571325765479903,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,1.8,Europe,Undernourishment,-0.0646235205513398,Scientific paper,Europe,Direct impacts,RCP2.6,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Agricultural productivity,-0.0016035752320483,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Coastal innundation,-0.0184489436197607,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Cooling/heating demand,-1.6408418334738,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Fluvial flood,0.0034090289418273,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Heat-related excess mortality,-0.957068078430385,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Hydropower generation,-0.0040011022342025,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Occupational-health cost,0.143169955001885,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Thermalpower generation,-0.03650508550202,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.7,Europe,Undernourishment,-0.0175535444667654,Scientific paper,Europe,Direct impacts,RCP4.5,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Agricultural productivity,-0.0018332408166888,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Coastal innundation,-0.0158402897940473,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Cooling/heating demand,-2.19455135988061,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Fluvial flood,0.0017159246989041,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Heat-related excess mortality,-1.13629947877546,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
Takakura et al.,2019,2099,2.9,Europe,Hydropower generation,-0.0064818784171621,Scientific paper,Europe,Direct impacts,RCP6.0,,Takakura et al. 2019
